,DCE,ADC,T1w,T2w,T1w Z,T2w Z,T1w Z effect,T2w Z effect
10Percentile,0.9999999999999996,1.0,1.0,1.0,0.9999999999999999,0.9999999999999998,0.05618591154612558,0.05618591154612558
90Percentile,0.9999999999999999,1.0,1.0,1.0,1.0,1.0,0.048514495802190236,0.048514495802190236
Autocorrelation,0.007944973899858203,0.001367441749940223,0.02149127601263057,0.023947575487790165,0.1572834841765138,0.009973983797223526,0.09945355660589623,0.09945355660589623
Busyness,0.11050178876081926,0.10561666435188767,0.16644530158643644,0.15497185280275852,0.24696942885039402,0.12202972084510587,0.39285439751883655,0.39285439751883655
ClusterProminence,0.003972958925451079,-9.459196408221864e-05,0.008207257528704038,0.013230706836164303,0.025115277013716727,0.0328923097890168,-0.26700750454797045,-0.26700750454797045
ClusterShade,0.0712982171499531,0.06364439359315374,0.0725667987278897,0.06961189334511482,0.049853844808489915,0.048865245738168125,0.4186227793031192,0.4186227793031192
ClusterTendency,0.0089047615364228,-0.0007724643181486713,0.021977460669465675,0.03932442114406946,0.08165073673768065,0.14874464600109003,-0.4570203380181773,-0.4570203380181773
Coarseness,0.9995138142504709,0.9204349890606384,0.802633681800653,0.8090277051931771,0.7851417561253825,0.8346048975583393,0.24655768177046297,0.24655768177046297
Complexity,-0.0002706480133110332,-0.001164570094967446,0.03161893835538856,0.021157106633990827,0.07717011979221872,0.06488237056239615,0.2367148454808015,0.2367148454808015
Contrast,-0.0006894190730897065,-0.0016485917811957492,0.05558455833799128,0.044314560402135224,0.0949730349703829,0.16322567529260743,0.022644573200657818,0.022644573200657818
Contrast.1,0.018567538527296642,-0.0010122490455576315,0.047570635269345456,0.027451785493404282,0.044277987686291126,0.4548051400522302,0.012473648544091198,0.012473648544091198
Correlation,0.9999941157364837,0.9955805921066915,0.999980793523992,0.9999633167222032,0.31776849226801746,0.9379666081103448,0.13113657981839216,0.13113657981839216
DependenceEntropy,0.3886397071380088,0.1943040396641452,0.6316304179920117,0.4314815339993913,0.025340671589310193,0.3182204777800641,-0.6804947853354234,-0.6804947853354234
DependenceNonUniformity,0.6684667755917674,0.8530772606055386,0.9018644215183076,0.9418309393863876,0.39083772361181923,0.5988945948416238,0.3439897678938825,0.3439897678938825
DependenceNonUniformityNormalized,0.12704245584298277,0.2306627084661516,0.8491435485696098,0.8679091659898566,0.14087809312272495,0.34398039597304403,-0.7440391678047887,-0.7440391678047887
DependenceVariance,0.1836102909304315,0.9944915605640682,0.8528181195305397,0.8005432171861211,0.05016612896773242,0.06660072689407583,-0.06808766829714415,-0.06808766829714415
DifferenceAverage,0.00716637545267066,-0.004199548285005182,0.17209812188055842,0.1693037109023239,0.24189872087031508,0.38355644856145693,0.2106821031050048,0.2106821031050048
