,ADC,DCE,T1w,T2w
10Percentile,1,1,1,1
90Percentile,1,1,1,1
Autocorrelation,0.00136744174994022,0.0079449738998582,0.0214912760126306,0.0239475754877902
Busyness,0.105616664351888,0.110501788760819,0.166445301586436,0.154971852802759
ClusterProminence,-9.45919640822186E-05,0.00397295892545108,0.00820725752870404,0.0132307068361643
ClusterShade,0.0636443935931537,0.0712982171499531,0.0725667987278897,0.0696118933451148
ClusterTendency,-0.000772464318148671,0.0089047615364228,0.0219774606694657,0.0393244211440695
Coarseness,0.920434989060638,0.999513814250471,0.802633681800653,0.809027705193177
Complexity,-0.00116457009496745,-0.000270648013311033,0.0316189383553886,0.0211571066339908
Contrast,-0.00164859178119575,-0.000689419073089707,0.0555845583379913,0.0443145604021352
Contrast.1,-0.00101224904555763,0.0185675385272966,0.0475706352693455,0.0274517854934043
Correlation,0.995580592106692,0.999994115736484,0.999980793523992,0.999963316722203
DependenceEntropy,0.194304039664145,0.388639707138009,0.631630417992012,0.431481533999391
DependenceNonUniformity,0.853077260605539,0.668466775591767,0.901864421518308,0.941830939386388
DependenceNonUniformityNormalized,0.230662708466152,0.127042455842983,0.84914354856961,0.867909165989857
DependenceVariance,0.994491560564068,0.183610290930432,0.85281811953054,0.800543217186121
DifferenceAverage,-0.00419954828500518,0.00716637545267066,0.172098121880558,0.169303710902324
DifferenceEntropy,-0.00775379580591651,-0.00508245812948555,0.744139544853667,0.740941085091479
DifferenceVariance,0.00202511601401116,0.00474748830948434,0.019804150303558,0.00257036032723309
Elongation,1,1,1,1
Energy,1,1,1,1
Entropy,0.798576983618375,0.139457612924989,-0.0463695782274192,0.0280352102743795
Flatness,1,1,1,1
GrayLevelNonUniformity,0.798400919000784,0.771673777622467,0.824100452301606,0.779654269245214
GrayLevelNonUniformity.1,0.352454043174597,0.328361275974793,0.597999103943604,0.749075432976491
GrayLevelNonUniformity.2,0.379596238196999,0.376189601101176,0.46317644029244,0.524661408607933
GrayLevelNonUniformityNormalized,-0.00281166030561408,-0.000963208480211559,0.0473179725710537,0.000985565113218704
GrayLevelNonUniformityNormalized.1,-0.0018544891364705,-0.000888185356827055,0.0362312961806897,0.0518773731097986
GrayLevelVariance,0.000343483678536763,-0.00113963518180016,0.00276094494799679,0.00142336188636044
GrayLevelVariance.1,-0.000447036829024833,-0.00197112201800893,0.00825386397760873,0.0107917047475662
GrayLevelVariance.2,0.000249586172563714,-0.000166120315317081,0.0109632606191507,-0.000914553507541538
HighGrayLevelEmphasis,0.000302837037539622,0.00159217321355836,0.0154650888320026,0.0181212333694376
HighGrayLevelRunEmphasis,0.000608330131595732,0.00146913952687176,0.0146184500919609,0.0160654518375393
HighGrayLevelZoneEmphasis,0.000291513272687577,0.00116685955252164,0.00316846271465622,0.00162733971841242
Id,0.0410863230408845,0.101338121444123,0.635184275378786,0.650226720057063
Idm,0.098547372855824,0.128837123652754,0.652900795793653,0.66623462507841
Idmn,0.259228313210196,0.863370190802666,0.972576116829611,0.970745198383326
Idn,0.568021732575556,0.951685019639643,0.990372329402276,0.990581935052684
Imc1,0.67985193340587,0.909449088015989,0.919457187923372,0.949185271258297
Imc2,0.86656384936101,0.98141262905271,0.410212085850038,0.530386494726927
InterquartileRange,1,1,1,1
InverseVariance,0.00412015395143355,0.075367719692705,-0.00224552003000083,0.00395033466856564
JointAverage,0.00152747965252126,0.00421762390587028,0.02829667831785,0.0368252645227917
JointEnergy,0.0654610740927726,-0.0249759734975165,0.18898160015422,0.307694216291359
JointEntropy,-0.00675974294976688,-0.00590952780731389,0.431014481117839,0.534741901587692
Kurtosis,1,1,1,1
LargeAreaEmphasis,0.00287983427051369,-0.000330974750859711,0.0447174259251792,0.0858254248644375
LargeAreaHighGrayLevelEmphasis,0.403546445839877,0.00834176852152056,0.222638418454626,0.197855675278483
LargeAreaLowGrayLevelEmphasis,-0.00646468775341098,-0.00203778524985136,0.0106420632028854,0.0567719356477999
LargeDependenceEmphasis,0.925835322451846,0.131451582314223,0.682156130843418,0.715341337840081
LargeDependenceHighGrayLevelEmphasis,0.156978645890431,0.0978037611268505,0.15445430902332,0.140287894525263
LargeDependenceLowGrayLevelEmphasis,-0.0118686294032942,0.00348878619576656,0.217122155034749,0.374590582683589
LeastAxisLength,1,1,1,1
LongRunEmphasis,0.90856887751277,0.153088619956878,0.412972274856463,0.431232514346845
LongRunHighGrayLevelEmphasis,0.0403922767455774,-0.00508784313398958,0.091672518700859,0.105456060085673
LongRunLowGrayLevelEmphasis,-0.0200557498115354,-0.0213840266738562,0.101406895598051,0.243591634992531
LowGrayLevelEmphasis,0.00784116215647901,0.0297783114971637,0.024301022036803,0.301982177839667
LowGrayLevelRunEmphasis,-0.00309244109259216,0.0214656351828415,-0.00498345437120745,0.253550978835941
LowGrayLevelZoneEmphasis,-0.00162361628976007,-0.0258966796364478,0.0590543429370553,0.0153347456852662
MCC,0.885908361910587,0.846428095319888,0.547298111134086,0.734185971018222
MajorAxisLength,1,1,1,1
Maximum,1,1,1,1
Maximum2DDiameterColumn,1,1,1,1
Maximum2DDiameterRow,1,1,1,0.999999999999999
Maximum2DDiameterSlice,1,1,1,1
Maximum3DDiameter,1,0.999999999999999,0.999999999999999,0.999999999999999
MaximumProbability,0.95985210792136,0.127310697459765,0.446603252034635,0.324095218338222
Mean,1,1,1,1
MeanAbsoluteDeviation,1,1,1,1
Median,1,1,1,1
MeshVolume,1,1,1,1
Minimum,1,1,1,1
MinorAxisLength,1,1,1,1
Range,1,1,1,1
RobustMeanAbsoluteDeviation,1,1,1,1
RootMeanSquared,1,1,1,1
RunEntropy,0.0122498204965095,0.0250908883085579,0.338707648246574,0.207552343082839
RunLengthNonUniformity,0.987770414618314,0.963844810013484,0.893906814404479,0.878893346237239
RunLengthNonUniformityNormalized,0.0986512904454983,0.120307862260204,0.885306356629261,0.899469267575991
RunPercentage,0.562970004387053,0.164924229004375,0.853473191593926,0.859565572922692
RunVariance,0.943433431893675,0.162185553592797,0.333174343623307,0.360631696255092
ShortRunEmphasis,0.112635787110321,0.124141205265183,0.84000443749662,0.866435225837332
ShortRunHighGrayLevelEmphasis,9.655555724482E-05,0.000975614384662932,0.0131363304372894,0.0173039067319535
ShortRunLowGrayLevelEmphasis,-0.00238143817261092,0.0342126660082607,0.0609092166538953,0.235356602439146
SizeZoneNonUniformity,0.692875129603742,0.574788238706445,0.406800130017151,0.392122050189068
SizeZoneNonUniformityNormalized,0.034172223869596,0.013128922811894,0.696129041232327,0.695378645659513
Skewness,1,1,1,1
SmallAreaEmphasis,0.0187731185856587,0.00359072481101084,0.666097434868413,0.684835453679555
