,ADC,DCE,T1w,T2w,T1w Z-norm effect,T2w Z-norm effect
10Percentile,0.0,0.0,0.0,0.0,141.4979501328578,141.54750891451562
90Percentile,0.0,0.0,0.0,0.0,133.08511484295684,132.96482747287035
Energy,0.0,0.0,0.0,0.0,141.18969476415333,141.1202381628829
Entropy,22.03812827390503,57.844280073714245,39.85627738710237,39.88478610960316,0.0,0.0
InterquartileRange,0.0,0.0,0.0,0.0,130.74424529631608,130.88790349687542
Kurtosis,0.0,0.0,0.0,0.0,8.315447798003525e-14,2.1572912607070238e-13
Maximum,0.0,0.0,0.0,0.0,131.56955240554277,131.1410082351327
MeanAbsoluteDeviation,0.0,0.0,0.0,0.0,130.74424529631608,130.8879034968754
Mean,0.0,0.0,0.0,0.0,134.55246400237166,134.109366170368
Median,0.0,0.0,0.0,0.0,135.32458867305127,136.04730261686478
Minimum,,0.0,,,141.4213562373095,141.4213562373095
Range,0.0,0.0,0.0,0.0,130.74424529631602,130.88790349687542
RobustMeanAbsoluteDeviation,0.0,0.0,0.0,0.0,130.74424529631605,130.88790349687542
RootMeanSquared,0.0,0.0,0.0,0.0,133.54891848942816,132.493850152229
Skewness,0.0,0.0,0.0,0.0,5.342194735485754e-14,1.7888555487253856e-13
TotalEnergy,0.0,0.0,0.0,0.0,141.18969476415333,141.12023816288294
Uniformity,77.77177452246107,62.78935381682345,104.17851888222637,69.89648394869513,0.0,0.0
Variance,0.0,0.0,0.0,0.0,140.98654935301636,140.9961039722548
Elongation,0.0,0.0,0.0,0.0,0.0,0.0
Flatness,0.0,0.0,0.0,0.0,0.0,0.0
LeastAxisLength,0.0,0.0,0.0,0.0,0.0,0.0
MajorAxisLength,0.0,0.0,0.0,0.0,0.0,0.0
Maximum2DDiameterColumn,0.0,0.0,0.0,0.0,0.0,0.0
Maximum2DDiameterRow,0.0,0.0,0.0,0.0,0.0,0.0
Maximum2DDiameterSlice,0.0,0.0,0.0,0.0,0.0,0.0
Maximum3DDiameter,0.0,0.0,0.0,0.0,0.0,0.0
MeshVolume,0.0,0.0,0.0,0.0,0.0,0.0
MinorAxisLength,0.0,0.0,0.0,0.0,0.0,0.0
Sphericity,0.0,0.0,0.0,0.0,0.0,0.0
SurfaceArea,0.0,0.0,0.0,0.0,0.0,0.0
SurfaceVolumeRatio,0.0,0.0,0.0,0.0,0.0,0.0
VoxelVolume,0.0,0.0,0.0,0.0,0.0,0.0
Autocorrelation,157.96761007001302,157.97124634915622,158.11280813386412,158.15828967086463,53.61250986543381,6.211058788704062
ClusterProminence,206.85564009875768,206.51726870381316,206.841020851984,206.83035364994856,127.67681232993148,137.7777525955226
ClusterShade,190.9653192974029,190.06716562911453,190.74092485532083,190.65335657987748,117.3629627832155,108.90945240854967
ClusterTendency,159.27320939762146,158.76044821387387,159.29124289117536,159.2738119543361,109.37860743979282,129.00737873360822
Contrast,159.2710376184068,158.7615806104045,159.20142391421643,159.18143946878075,139.82985417337872,140.18941676711006
Correlation,6.149891740005751,0.20519694737079858,0.23635510272036386,0.2461153205571148,63.48605833650575,44.551427828355685
DifferenceAverage,101.13915403856868,100.84188771835173,101.10916627001109,101.04848397914455,126.27657160200474,129.9639871269291
DifferenceEntropy,28.81622222945454,31.45658248935765,19.59058189079682,19.42493129231623,66.38176993475986,76.42728619332291
DifferenceVariance,159.25785109526308,158.74519704309157,159.18717663969153,159.1681451089462,139.28385744288474,139.80452863422363
Id,79.99118918425623,81.8490732655074,52.47679954633064,45.19712246857268,69.00961422232663,69.43046843817436
Idm,103.19438529615864,109.25141789409052,66.03406054432695,55.67957352318804,87.7029146243591,85.37186273097527
Idmn,1.33760578066269,1.2199557877836533,0.7411203263504165,0.5906966060811252,4.997335573803612,4.589701570727375
Idn,1.4574972741125674,1.361829715862212,0.9636379272274678,0.804610356307545,9.670140217696133,9.146366252622727
Imc1,106.05336457518547,27.799198412334913,46.270723326364646,30.63960139137161,50.80657009876008,53.32859465952497
Imc2,66.6160265288228,6.725334155706658,14.152327040232652,8.328690746929484,2.6310393858821106,1.206484798652331
InverseVariance,117.91903862153777,105.99393822000278,122.72168240300374,117.20424687027537,110.69940056340667,91.55203113350343
JointAverage,99.071249088075,99.04553555806922,99.08376246949555,99.09374571533186,33.316212462343564,5.979976184759055
JointEnergy,186.40459710131552,189.73040062887839,147.55884980502395,128.23763318095615,129.24471206048236,135.36904479192322
JointEntropy,26.290002741552257,30.150265886235772,20.040500176794744,19.531098401314757,39.08706917392042,56.023365943143546
MCC,63.67701910534568,1.4178682142627737,29.143987962573853,19.82432956638943,14.407666943711625,12.624077892228854
MaximumProbability,76.13647586265331,186.1181978331947,136.99967181985505,118.584579492829,129.84378949023974,132.81565483187092
SumAverage,99.07124908807504,99.04553555806933,99.0837624694956,99.0937457153319,33.31621246234359,5.97997618475908
SumEntropy,25.508631520871,27.08473846630077,22.23293146317236,20.99543972217336,20.775572996777935,41.3540608872551
SumSquares,159.27212861632566,158.76077908641912,159.26171153733844,159.25077756231963,119.64661783320739,131.4960728567077
GrayLevelNonUniformity,46.138476073473086,53.0440509489695,48.760202920949624,46.481030971290735,103.16187410022947,118.6740564857208
GrayLevelNonUniformityNormalized,110.7732361423034,114.61366709009789,105.32013930137845,104.1226181437639,64.50198874152697,59.59286826336212
GrayLevelVariance,159.20311923582074,158.65544475341898,159.21621551710155,159.20803484759756,95.40401990733996,89.67503303739217
HighGrayLevelZoneEmphasis,158.29612169306506,158.1310900063021,158.30767948880586,158.3049272700299,36.750485063442895,21.10254743051306
LargeAreaEmphasis,223.321208947755,223.57531320364075,219.00082514331345,205.44321562744247,141.23067960032796,141.28603308058348
LargeAreaHighGrayLevelEmphasis,202.17226952053812,222.33934539304033,142.2387090032865,127.0101807901508,140.38522745407658,141.2274030765283
LargeAreaLowGrayLevelEmphasis,223.58187043685695,223.5983408652678,221.41221541641244,210.57558501533936,141.25075683029607,140.23940549164342
LowGrayLevelZoneEmphasis,108.66441246765527,107.0859482726902,107.41109762380506,109.43040696681726,96.47734696346217,100.86347728800484
SizeZoneNonUniformity,57.96973913344921,66.89880842810473,48.63992731256984,49.48339253302535,131.60257149970067,137.32197021172294
SizeZoneNonUniformityNormalized,29.944289632509996,35.107779686076285,17.63076312969418,20.02537487294368,39.076456116615816,56.59270533139552
