,Mean,Std,Lower CI value,Higher CI value
90Percentile,0.02242964119689661,0.30641648285885487,-18.99061482419946,23.476543063578784
Energy,0.004131847391657284,0.6270274430996539,-43.037600247405344,43.8639697257368
Entropy,0.027082518037464948,0.11056772456706199,-4.953700602783629,10.370204210276619
InterquartileRange,-0.0029866371106883755,0.3187917414448687,-22.389804322938488,21.79247690080081
Kurtosis,-0.0410927603995179,0.27957134543877354,-23.482581870101736,15.264029790198155
Maximum,-0.057746283014294145,0.3421195784374344,-29.482305542629106,17.93304893977028
MeanAbsoluteDeviation,0.0042356333499585785,0.32388317758837776,-22.020395801133038,22.867522471124754
Mean,0.005557099350813055,0.3459582353008178,-23.417972655395562,24.529392525558173
Median,0.047103066246781955,0.41534396198805335,-24.071561515892537,33.492174765248926
Minimum,-0.03742621589476517,0.10674995538059058,-11.14001608889226,3.6547729099392265
Range,-0.055307672875998484,0.3227735256184953,-27.897831465327975,16.83629689012828
RobustMeanAbsoluteDeviation,0.007994114037333425,0.3316310177700358,-22.181445664931555,23.780268472398237
RootMeanSquared,-0.0004642569821660669,0.3165399801746757,-21.98152721503712,21.888675818603907
Skewness,-0.008061810228012598,0.21261295632980992,-15.53950721531619,13.927145169713672
TotalEnergy,0.004225388400783264,0.6267758337073457,-43.01081050515664,43.8558881853133
Uniformity,-0.04193129454422007,0.22036123580227457,-19.46338402077275,11.077125111928737
Variance,0.005097097131591538,0.6422910676383918,-43.99879049026097,45.01820991657928
ClusterProminence,-0.1910777633797408,0.7646667033166236,-72.09647544172321,33.880922765775054
ClusterShade,-0.1436319525891749,0.6641487705784229,-60.38635699940321,31.659966481568237
ClusterTendency,-0.09337484645929067,0.47196260669087947,-42.0428246923739,23.367855400515765
Contrast,-0.22465008500740397,0.5075728441967136,-57.638012108349024,12.707995106868236
Correlation,0.010853760235977793,0.034290412749989806,-1.2908283481521579,3.4615803953477164
DifferenceAverage,-0.19667064964088823,0.40467483526833203,-47.70960034307991,8.375470414902267
DifferenceEntropy,-0.13954714377682623,0.2680089648681286,-32.52678811243263,4.617359357067382
DifferenceVariance,-0.21949885422427703,0.47973269020099335,-55.193664785430485,11.293893940575082
Id,0.007832257406095982,0.05806637328186907,-3.2405686374292615,4.807020118648459
Idm,0.00697779239868788,0.06414717019634095,-3.74739286602772,5.142951345765296
Idmn,4.486213822983503e-05,0.0002730512605479993,-0.014435273175628956,0.02340770082159596
Idn,0.0005814357507232509,0.0036713979448526612,-0.19627132248516266,0.31255847262981284
Imc1,0.04615916275774358,0.1457668720032913,-5.485212603481762,14.717045155030478
Imc2,0.0013230186897253795,0.01483354087805739,-0.8956100707279209,1.1602138086729967
