,DCE,ADC,T1w,T2w,T1w Z,T2w Z
10Percentile,0.5233263898710983,0.586218482537366,0.6978152457848491,0.8082444918265815,0.4463436863362107,0.8960419142269065
90Percentile,0.19908374140429744,0.7167735654000793,0.44694587836158106,0.563043010934492,0.5506453394306824,0.7328322073498477
Autocorrelation,0.06792692477835556,0.4807722962125038,0.7940075040302843,0.5904210954475975,0.686706828488538,0.5993276632208524
Busyness,0.9492831517626084,0.9820434443742042,0.847174621111605,0.9254942643258876,0.6693462219099037,0.6209380935846793
ClusterProminence,0.13130288901114406,0.4301360821543619,0.727565059067754,0.534044132134003,0.8050295313450401,0.45813301981964555
ClusterShade,0.0024076184976166777,0.45906838318513365,0.15355192130483133,0.31244206840949185,0.7946831025608835,0.24636379147902523
ClusterTendency,0.15001874921927968,0.542443543932207,0.6634056341936112,0.5945225433251027,0.7356528795644103,0.648446557353349
Coarseness,0.9408971706011554,0.9492398344947588,0.9371112775559302,0.9558301250094079,0.8791602386091959,0.8683699144315997
Complexity,0.19768176767364432,0.6520331673448985,0.6268656133517169,0.45153465650282676,0.7503170201665831,0.5236522995650323
Contrast,0.20021487157460904,0.6325296012289994,0.6913115484200877,0.6086812764509617,0.5565234540806425,0.5271959872901518
Contrast.1,0.18747325042740737,0.6368766505807001,0.6081234165722654,0.4892122997934795,0.651978187097233,0.5491294639605798
Correlation,0.1938408995996952,0.599717161901357,0.7837249356557993,0.6735172779134951,0.31539646323092196,0.5511947731519655
DependenceEntropy,0.21827534329062098,0.6241035186806881,0.7563564040105434,0.6232106135933144,0.8307728125850411,0.619381028394424
DependenceNonUniformity,0.9285951031531448,0.9825492528473506,0.8667652167393058,0.8015190080454219,0.7959896907878735,0.8312367090672785
DependenceNonUniformityNormalized,0.2415092894181563,0.6600848671575772,0.7901188812814947,0.5389118197771653,0.7261895118878907,0.5981155904627282
DependenceVariance,0.05955998410237446,0.6915538059002425,0.6941455207799231,0.5327467819586166,0.38339510356886825,0.6369136688997942
DifferenceAverage,0.17957657284214698,0.6380362966809522,0.755093328041383,0.6624243401212526,0.6897208664848573,0.613831681617825
DifferenceEntropy,0.07515603118418354,0.6389316413380948,0.7775707559431119,0.7455414188371045,0.7284005050700931,0.6478527211065681
DifferenceVariance,0.17885370265105555,0.6464942335745539,0.4458601514232627,0.4642438352928666,0.5184392191586069,0.5228185269981339
Energy,0.2947849369018413,0.6437691658050806,0.6991816088778784,0.5608122551048146,0.8835130666186386,0.6665236139139654
Entropy,0.13989686523192293,0.5904285656846633,0.7312217145144541,0.015683128049782932,0.7318863173305907,0.0030770164189984285
GrayLevelNonUniformity,0.9484809007889355,0.9894204644918615,0.613438115117264,0.4920521543301204,0.517859049334253,0.30781796683052565
GrayLevelNonUniformity.1,0.9951255103559654,0.9942893843159016,0.9951860408492073,0.9866050645303297,0.9391502462075212,0.9350990170144441
GrayLevelNonUniformity.2,0.9176381707144284,0.9221153089737122,0.9180505956477032,0.889667340579406,0.7344168240353067,0.8216205866781463
GrayLevelNonUniformityNormalized,-0.07322953075095727,0.17216734220280236,0.09254373016903066,0.3038071561303695,0.485698970618163,0.3293819488478359
GrayLevelNonUniformityNormalized.1,-0.02038223126248023,0.29589904034856623,0.39913539736796666,0.1176649345926596,0.6053559535536464,0.6395707604988218
GrayLevelVariance,0.04505161532624752,0.37220180588544366,0.7623039967897265,0.26249319390688347,0.5359552561712153,0.5755501073178452
GrayLevelVariance.1,-0.055117969947225336,0.6730643747701541,0.18907213389716318,0.48182760309659073,0.8215260892371746,0.6342551656089351
GrayLevelVariance.2,-0.2295362142248077,0.74021165834119,0.4342052557948272,0.3317974004815729,0.6962788157888146,0.6349382033268549
HighGrayLevelEmphasis,-0.07227363158119061,0.08037588042454746,0.2522691235383975,0.5456938068846853,0.6869603703286319,0.6015642981072875
HighGrayLevelRunEmphasis,-0.06524193927672808,0.37889050552723585,0.2806259263300483,0.545996359114576,0.6916651042790602,0.6151681359615254
HighGrayLevelZoneEmphasis,0.025931435182957995,0.324328805359137,0.3880651750289505,0.1222334701212972,0.5944649087888048,0.7169744406731738
Id,0.1277660439117322,0.6537244406272987,0.779810462956262,0.693914326293931,0.7421846170986006,0.6161040785565243
Idm,0.11578743129573199,0.6538958393620757,0.7788825553156136,0.6966120582185452,0.7307467444120959,0.615805392628372
Idmn,0.19315074182069286,0.6347445976801672,0.7288766786008306,0.638098607840427,0.5720960832203316,0.5439386800765215
Idn,0.17178459641898308,0.6399419494797144,0.7711538435789275,0.668590213476661,0.6956911630797528,0.6162895811339033
Imc1,0.003925186583244335,0.6717015433418382,0.7888718712415358,0.7514544329057651,0.5764026840403541,0.673627271872669
Imc2,0.17086332643078536,0.6595465751619226,0.7499096777013083,0.48858515053411156,0.10737841620411111,0.5570838668647887
