,DCE,ADC,T1w,T2w
Busyness,0.9492831517626084,0.9820434443742042,0.847174621111605,0.9254942643258876
Coarseness,0.9408971706011554,0.9492398344947588,0.9371112775559302,0.9558301250094079
DependenceNonUniformity,0.9285951031531448,0.9825492528473506,0.8667652167393058,0.8015190080454219
GrayLevelNonUniformity,0.9484809007889355,0.9894204644918615,,
GrayLevelNonUniformity.1,0.9951255103559654,0.9942893843159016,0.9951860408492073,0.9866050645303297
GrayLevelNonUniformity.2,0.9176381707144284,0.9221153089737122,0.9180505956477032,0.889667340579406
RunLengthNonUniformity,0.9883551536890826,0.9920985089517619,0.9378732678173544,0.9099272649214502
SizeZoneNonUniformity,0.911800169762855,0.9865644268693486,,
Strength,0.9429108634984442,0.9508769853674176,0.9302065474234305,0.9501077260299972
LongRunEmphasis,,0.8012389494142569,,
LongRunHighGrayLevelEmphasis,,0.7951793379355958,0.7811391260925494,
RunVariance,,0.8078654123767833,,
SizeZoneNonUniformityNormalized,,0.8017186300982725,,
SmallAreaEmphasis,,0.803254228839909,,
SmallAreaHighGrayLevelEmphasis,,0.8278352061364018,,
SmallDependenceLowGrayLevelEmphasis,,0.7506125476938209,0.7653733146100783,
Autocorrelation,,,0.7940075040302843,
Correlation,,,0.7837249356557993,
DependenceEntropy,,,0.7563564040105434,
DependenceNonUniformityNormalized,,,0.7901188812814947,
DifferenceAverage,,,0.755093328041383,
DifferenceEntropy,,,0.7775707559431119,
GrayLevelVariance,,,0.7623039967897265,
Id,,,0.779810462956262,
Idm,,,0.7788825553156136,
Idn,,,0.7711538435789275,
Imc1,,,0.7888718712415358,0.7514544329057651
InverseVariance,,,0.8111312864128364,
JointEnergy,,,0.8091693081324889,
JointEntropy,,,0.8053382541050068,
LargeDependenceHighGrayLevelEmphasis,,,0.7791098375296869,
MCC,,,0.8116762543891922,
RunLengthNonUniformityNormalized,,,0.7875126963944568,
RunPercentage,,,0.7596668280117821,
ShortRunEmphasis,,,0.7701380544701607,
SmallDependenceEmphasis,,,0.7926086625415458,
SmallDependenceHighGrayLevelEmphasis,,,0.7749683980357693,
Uniformity,,,0.7561456466653131,
ZonePercentage,,,0.7936337924506546,
10Percentile,,,,0.8082444918265815
RunEntropy,,,,0.7659899323987187
