,Mean,Std,Lower CI value,Higher CI value
Kurtosis,-0.04109276039951795,0.27009157961282465,-22.825667613542024,14.607115533638432
Minimum,0.0,0.0,0.0,0.0
Skewness,-0.008061810228012903,0.20540363008642795,-15.039926394817032,13.42756434921445
Uniformity,-0.0438788348291138,0.22855139078950823,-20.225686834045415,11.449919868222654
Autocorrelation,-0.012438772117347226,0.032882401426264356,-3.5225113766952756,1.0347569532258305
DifferenceEntropy,-0.021187553852606213,0.11425027701746707,-10.035895657146888,5.798384886625645
Imc2,0.012164362270563287,0.09635292521042188,-5.460480839681728,7.893353293794386
InverseVariance,0.034343161669809025,0.15105681125671494,-7.03338680025497,13.902019134216776
JointAverage,-0.006094171591185244,0.03162388725162676,-2.800840741182725,1.582006422945676
JointEnergy,0.07993024766160557,0.3870138634287153,-18.82566770371704,34.811717236038156
JointEntropy,-0.005145442920279989,0.052733123257511935,-4.1687632987842065,3.1396747147282076
MCC,0.022526890957203498,0.15998336242055983,-8.833592307850735,13.338970499291436
MaximumProbability,0.18377832776778252,0.4934620880558813,-15.817345318054866,52.57301087161137
SumAverage,-0.006094171591185403,0.03162388725162671,-2.800840741182738,1.5820064229456574
SumEntropy,-0.00018846216450810692,0.0110930588437014,-0.7875559754341115,0.7498635425324901
SumSquares,-0.042249380300934725,0.10633167915134183,-11.593347465614343,3.143471405427399
GrayLevelNonUniformity,-0.06295369542128748,0.43262582732206323,-36.27480985128413,23.684070767026633
GrayLevelNonUniformityNormalized,-0.004688203475305183,0.04515281439699811,-3.597750750008462,2.660110054947425
HighGrayLevelZoneEmphasis,-0.0011976267271823224,0.010643119295894574,-0.857293211774468,0.6177678663380035
LowGrayLevelZoneEmphasis,-0.004155832849159412,0.05266391837859927,-4.065006638233456,3.233840068401573
SizeZoneNonUniformity,-0.06464723683698077,0.531882475089375,-43.32229876683631,30.39285139944016
SizeZoneNonUniformityNormalized,-0.009053605150313209,0.10585946400831321,-8.24104711063037,6.430326080567728
SmallAreaEmphasis,-0.00465284904805544,0.05467464826757683,-4.254044730606847,3.3234749209957593
SmallAreaHighGrayLevelEmphasis,-0.008075033622891617,0.05414811673812384,-4.559776414621962,2.9447696900436386
SmallAreaLowGrayLevelEmphasis,-0.0014126824149419646,0.08023573436515556,-5.701320964076428,5.418784481088037
ZoneEntropy,0.002348419428410551,0.0241692727912878,-1.4400032124915227,1.909687098173633
ZonePercentage,-0.058167684853905124,0.4436361486162945,-36.559185133864865,24.925648163083842
GrayLevelNonUniformity.1,-0.02435147948871738,0.12647075410989475,-11.199124078454272,6.328828180710795
GrayLevelNonUniformityNormalized.1,-0.016227285489416213,0.11694145077011171,-9.726357647392824,6.480900549509581
GrayLevelVariance.1,-0.03823382832587382,0.09867688048392935,-10.661341783566433,3.014576118391669
LowGrayLevelRunEmphasis,-0.032110893788678464,0.17559082256739275,-15.37891259131752,8.956733833581826
ShortRunLowGrayLevelEmphasis,-0.03930667778214899,0.18906513518621182,-17.032213217474826,9.170877661045026
Busyness,-0.07833609381803927,0.3061660391854099,-29.049833464552822,13.38261470094497
DependenceEntropy,0.01280299362280661,0.038433692829086846,-1.3830196706171718,3.943618395178494
DependenceNonUniformity,-0.07961257111037398,0.2418549905928136,-24.720952894412136,8.798438672337342
DependenceVariance,0.1809661964915041,0.3954235035097543,-9.30483114653399,45.498070444834816
GrayLevelNonUniformity.2,-0.0073833891474565615,0.1250763838074114,-9.405690112083821,7.929012282592509
GrayLevelVariance.2,-0.018552428865024916,0.08951767223402682,-8.058501087628569,4.348015314623586
LargeDependenceLowGrayLevelEmphasis,0.07865348277083875,0.4944776187165234,-26.400202502180235,42.13089905634799
LowGrayLevelEmphasis,-0.03639688523900914,0.1889031516689711,-16.730009078099663,9.450632030297838
SmallDependenceEmphasis,-0.059842198567906714,0.37941699375671883,-32.276476116704075,20.308036403122728
SmallDependenceHighGrayLevelEmphasis,-0.06575767648225445,0.38264367859980464,-33.091621760002035,19.940086463551143
SmallDependenceLowGrayLevelEmphasis,-0.06901633705377852,0.4158146386539728,-35.716118074845944,21.91285066409024
Patient,0.0,0.0,0.0,0.0
