,ADC,DCE,T1w,T2w
10Percentile,0.586218482537366,0.523326389871098,0.697815245784849,0.808244491826582
90Percentile,0.716773565400079,0.199083741404297,0.446945878361581,0.563043010934492
Autocorrelation,0.480772296212504,0.0679269247783556,0.794007504030284,0.590421095447598
Busyness,0.982043444374204,0.949283151762608,0.847174621111605,0.925494264325888
ClusterProminence,0.430136082154362,0.131302889011144,0.727565059067754,0.534044132134003
ClusterShade,0.459068383185134,0.00240761849761668,0.153551921304831,0.312442068409492
ClusterTendency,0.542443543932207,0.15001874921928,0.663405634193611,0.594522543325103
Coarseness,0.949239834494759,0.940897170601155,0.93711127755593,0.955830125009408
Complexity,0.652033167344899,0.197681767673644,0.626865613351717,0.451534656502827
Contrast,0.632529601228999,0.200214871574609,0.691311548420088,0.608681276450962
Contrast.1,0.6368766505807,0.187473250427407,0.608123416572265,0.48921229979348
Correlation,0.599717161901357,0.193840899599695,0.783724935655799,0.673517277913495
DependenceEntropy,0.624103518680688,0.218275343290621,0.756356404010543,0.623210613593314
DependenceNonUniformity,0.982549252847351,0.928595103153145,0.866765216739306,0.801519008045422
DependenceNonUniformityNormalized,0.660084867157577,0.241509289418156,0.790118881281495,0.538911819777165
DependenceVariance,0.691553805900243,0.0595599841023745,0.694145520779923,0.532746781958617
DifferenceAverage,0.638036296680952,0.179576572842147,0.755093328041383,0.662424340121253
DifferenceEntropy,0.638931641338095,0.0751560311841835,0.777570755943112,0.745541418837105
DifferenceVariance,0.646494233574554,0.178853702651056,0.445860151423263,0.464243835292867
Energy,0.643769165805081,0.294784936901841,0.699181608877878,0.560812255104815
Entropy,0.590428565684663,0.139896865231923,0.731221714514454,0.0156831280497829
GrayLevelNonUniformity,0.989420464491862,0.948480900788936,0.613438115117264,0.49205215433012
GrayLevelNonUniformity.1,0.994289384315902,0.995125510355965,0.995186040849207,0.98660506453033
GrayLevelNonUniformity.2,0.922115308973712,0.917638170714428,0.918050595647703,0.889667340579406
GrayLevelNonUniformityNormalized,0.172167342202802,-0.0732295307509573,0.0925437301690307,0.30380715613037
GrayLevelNonUniformityNormalized.1,0.295899040348566,-0.0203822312624802,0.399135397367967,0.11766493459266
GrayLevelVariance,0.372201805885444,0.0450516153262475,0.762303996789727,0.262493193906883
GrayLevelVariance.1,0.673064374770154,-0.0551179699472253,0.189072133897163,0.481827603096591
GrayLevelVariance.2,0.74021165834119,-0.229536214224808,0.434205255794827,0.331797400481573
HighGrayLevelEmphasis,0.0803758804245475,-0.0722736315811906,0.252269123538398,0.545693806884685
