,ADC,DCE,T1w,T2w
10Percentile,26.40295109433417,35.641558793066814,14.911520737587763,15.628236512383754
90Percentile,10.576554028039059,18.588212458866458,18.976131688725093,27.55037328073383
Energy,16.06566026242296,40.421641968727414,37.956384135614115,46.6426650941663
Entropy,14.573100802526607,60.94016613716976,14.72372868443317,19.054744873740592
InterquartileRange,14.956643743535887,21.869260669704673,26.838516463132557,25.4828104244302
Kurtosis,16.02727626750282,31.94212279001902,14.723199478355715,34.023200728857915
Maximum,10.429466557643524,26.12274971162388,22.17180152146254,21.782095802798885
MeanAbsoluteDeviation,10.177574279341354,24.835334731415266,25.04232873182073,28.5982534329128
Mean,11.355813576826506,13.0040099962895,16.683700044814813,18.241055232262507
Median,17.41775890806356,12.74288407015678,13.13914099732932,15.870573072186664
Minimum,,10.359897859982354,,
Range,10.429466557643524,25.96212913085018,22.17180152146254,21.782095802798885
RobustMeanAbsoluteDeviation,13.518847103241763,21.575952299181644,26.410641373412076,22.013717132689713
RootMeanSquared,8.29588432326301,18.51844408485373,18.94393928314279,23.45854797666785
Skewness,16.584951714936516,10.875349359548446,12.192871449923235,19.73297031379486
TotalEnergy,16.176962547431206,40.42590482630649,37.97858085783979,46.57916518962708
Uniformity,40.29897151158042,25.55664691680203,37.8906291078695,32.36715883539105
Variance,18.250963112058642,45.926063136167926,44.95199894101634,51.90737404002142
Elongation,,,,
Flatness,,,,
LeastAxisLength,,,,
MajorAxisLength,,,,
Maximum2DDiameterColumn,,,,
Maximum2DDiameterRow,,,,
Maximum2DDiameterSlice,,,,
Maximum3DDiameter,,,,
MeshVolume,,,,
MinorAxisLength,,,,
Sphericity,,,,
SurfaceArea,,,,
SurfaceVolumeRatio,,,,
VoxelVolume,,,,
Autocorrelation,64.6443926617948,64.69384625941055,64.8248239771959,65.15185786695395
ClusterProminence,96.67836345342451,96.84025129396449,96.98224755027906,98.69862994025777
ClusterShade,92.44581073734454,181.16795039567089,225.84158738382462,140.65884593817913
ClusterTendency,65.74978447315348,65.8139177615137,65.88408550334874,66.61102587169316
Contrast,65.75410686096578,65.80236706468621,66.56084195443833,66.72114539077282
Correlation,43.078926784856314,42.14972529556526,13.717297674388194,15.773649481498989
DifferenceAverage,36.555216317000244,36.618168211018656,37.470498527900034,38.35880701046068
DifferenceEntropy,10.230041662547704,10.37569739555253,6.4165765221283975,8.081536081377955
DifferenceVariance,65.6962586955672,65.7433947592898,65.81470950936442,66.18261327045794
Id,24.86118493374744,25.51782564516641,18.55884502052009,18.105043101665927
Idm,32.268431239509106,34.43115998091201,25.75007477499494,25.06069108623582
Idmn,0.0594200828683448,0.3240440831176983,0.8189259943898175,0.8518887878397337
Idn,0.10871150117419276,0.550526096924371,1.2979779762628898,1.687124821929522
Imc1,60.162195501287364,55.14428809840878,40.820456367639885,33.06445240313686
Imc2,31.049698048389622,32.30846677744988,12.2303928628571,9.250644446249265
InverseVariance,36.62423636714395,34.246785761359035,68.28644342273691,69.02172433513186
JointAverage,35.76694306680301,35.772823899037085,35.818077609334495,35.85162792314483
JointEnergy,63.94634747782811,65.73915291350966,32.565358971592275,37.71424908031083
JointEntropy,9.894544449543048,9.979570291115827,6.273795540870806,6.904389311547421
MCC,35.38741958755145,32.639679931435516,20.02593179626563,17.480654369088505
MaximumProbability,23.134845981275728,65.60605198516471,30.591885944742067,35.76937206222463
SumAverage,35.76694306680306,35.77282389903711,35.81807760933452,35.85162792314483
SumEntropy,8.81093690395971,8.773660676156204,7.431109158619262,6.65607002575587
