,DCE,ADC,T1w,T2w,T1w Z,T2w Z
Idmn,0.3240440831176983,0.059420082868344846,0.8189259943898175,0.8518887878397337,0.02121008261224007,0.023905625285189608
Idn,0.550526096924371,0.10871150117419279,1.2979779762628898,1.687124821929522,0.23632983922894168,0.20206401640238034
ShortRunEmphasis,0.8142997235770324,0.596362108323633,1.028651974700742,2.1370928243176888,,
RunPercentage,1.13037589889942,0.8250074279195823,1.560384361430821,3.518554094072165,,
RunLengthNonUniformityNormalized,2.087597920047255,1.5416002727644713,2.4420264989065963,,,
DependenceEntropy,,,,4.62904439077385,,
Imc2,,,,,0.9046068285148111,1.496170157390747
MCC,,,,,0.9558219167308375,1.0302038750819318
Correlation,,,,,1.25829098540917,
ZoneEntropy,,,,,,3.0749846663019635
