,DCE,ADC,T1w,T2w,T1w Z,T2w Z
Idmn,1.2246407358641225,1.2425033914908636,0.9842110960944767,0.9631310331978216,0.03998283918522343,0.029790301173768435
Idn,1.4603319877591292,1.355193143847029,1.5290070547074475,1.7067899215229674,0.31208506451999884,0.18213083362168625
ShortRunEmphasis,3.2767113270472774,2.4221854923075483,5.308049144633996,6.3427795862543785,,
RunPercentage,4.5763620239498,3.4739553402639594,8.051776020706434,9.897220238698518,,
RunLengthNonUniformityNormalized,7.872229506887275,5.914133753493509,,,,
SmallAreaEmphasis,,,9.512999014175458,,,
DependenceEntropy,,,,8.33870594411555,,
Minimum,,,,,4.407327683671495,
MCC,,,,,4.504831300392338,2.436235043159002
RunEntropy,,,,,4.578446310374851,5.659859315832019
Correlation,,,,,,6.198646012263891
